# Compile of axi4_lite_Defs.sv was successful.
# Compile of axi4_lite_if.sv was successful.
# Compile of axi4_lite_master.sv was successful.
# Compile of axi4_lite_slave.sv was successful.
# Compile of Top.sv was successful.
# 5 compiles, 0 failed with no errors.
vsim -gui work.Top
# ** Info: SW_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 3915 ns Started: 3905 ns  Scope: Top.SW_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 485
# ** Info: SW_state_transition_DATA_a: ASSERTION PASS => when in DATA state and BREADY is high then next state is RESP in the next clock cycle
#    Time: 3925 ns Started: 3915 ns  Scope: Top.SW_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 493
# ** Info: MW_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 3935 ns Started: 3925 ns  Scope: Top.MW_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 409
# ** Info: SW_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is not IDLE in the next clock cycle
#    Time: 3935 ns Started: 3925 ns  Scope: Top.SW_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 502
# ** Info: SW_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 3965 ns Started: 3955 ns  Scope: Top.SW_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 485
# ** Info: SW_state_transition_DATA_a: ASSERTION PASS => when in DATA state and BREADY is high then next state is RESP in the next clock cycle
#    Time: 3975 ns Started: 3965 ns  Scope: Top.SW_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 493
# ** Info: MW_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 3985 ns Started: 3975 ns  Scope: Top.MW_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 409
# ** Info: SW_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is not IDLE in the next clock cycle
#    Time: 3985 ns Started: 3975 ns  Scope: Top.SW_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 502
# ** Info: SR_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 4025 ns Started: 4015 ns  Scope: Top.SR_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 439
# ** Info: SR_state_transition_DATA_a: ASSERTION PASS => when in DATA state and RREADY is high then next state is RESP in the next clock cycle
#    Time: 4035 ns Started: 4025 ns  Scope: Top.SR_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 447
# Read Address: 000000a5 | Write Data: 00000001 | Read Data: 00000001 | Data Match
# ** Info: MR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 4045 ns Started: 4035 ns  Scope: Top.MR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 372
# ** Info: SR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 4045 ns Started: 4035 ns  Scope: Top.SR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 455
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4055 ns Started: 4045 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: SR_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 4075 ns Started: 4065 ns  Scope: Top.SR_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 439
# ** Info: SR_state_transition_DATA_a: ASSERTION PASS => when in DATA state and RREADY is high then next state is RESP in the next clock cycle
#    Time: 4085 ns Started: 4075 ns  Scope: Top.SR_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 447
# Read Address: 00000ca8 | Write Data: 00000002 | Read Data: 00000002 | Data Match
# ** Info: MR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 4095 ns Started: 4085 ns  Scope: Top.MR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 372
# ** Info: SR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 4095 ns Started: 4085 ns  Scope: Top.SR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 455
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4105 ns Started: 4095 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: SR_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 4125 ns Started: 4115 ns  Scope: Top.SR_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 439
# ** Info: SR_state_transition_DATA_a: ASSERTION PASS => when in DATA state and RREADY is high then next state is RESP in the next clock cycle
#    Time: 4135 ns Started: 4125 ns  Scope: Top.SR_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 447
# Read Address: 00000ce4 | Write Data: 00000003 | Read Data: 00000003 | Data Match
# ** Info: MR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 4145 ns Started: 4135 ns  Scope: Top.MR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 372
# ** Info: SR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 4145 ns Started: 4135 ns  Scope: Top.SR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 455
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4155 ns Started: 4145 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: SR_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 4175 ns Started: 4165 ns  Scope: Top.SR_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 439
# ** Info: SR_state_transition_DATA_a: ASSERTION PASS => when in DATA state and RREADY is high then next state is RESP in the next clock cycle
#    Time: 4185 ns Started: 4175 ns  Scope: Top.SR_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 447
# Read Address: 00000e60 | Write Data: 00000004 | Read Data: 00000004 | Data Match
# ** Info: MR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 4195 ns Started: 4185 ns  Scope: Top.MR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 372
# ** Info: SR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 4195 ns Started: 4185 ns  Scope: Top.SR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 455
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4205 ns Started: 4195 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: SR_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 4225 ns Started: 4215 ns  Scope: Top.SR_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 439
# ** Info: SR_state_transition_DATA_a: ASSERTION PASS => when in DATA state and RREADY is high then next state is RESP in the next clock cycle
#    Time: 4235 ns Started: 4225 ns  Scope: Top.SR_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 447
# Read Address: 0000037e | Write Data: 00000005 | Read Data: 00000005 | Data Match
# ** Info: MR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 4245 ns Started: 4235 ns  Scope: Top.MR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 372
# ** Info: SR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 4245 ns Started: 4235 ns  Scope: Top.SR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 455
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4255 ns Started: 4245 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: SR_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 4275 ns Started: 4265 ns  Scope: Top.SR_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 439
# ** Info: SR_state_transition_DATA_a: ASSERTION PASS => when in DATA state and RREADY is high then next state is RESP in the next clock cycle
#    Time: 4285 ns Started: 4275 ns  Scope: Top.SR_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 447
# Read Address: 00000062 | Write Data: 00000006 | Read Data: 00000006 | Data Match
# ** Info: MR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 4295 ns Started: 4285 ns  Scope: Top.MR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 372
# ** Info: SR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 4295 ns Started: 4285 ns  Scope: Top.SR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 455
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4305 ns Started: 4295 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: SR_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 4325 ns Started: 4315 ns  Scope: Top.SR_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 439
# ** Info: SR_state_transition_DATA_a: ASSERTION PASS => when in DATA state and RREADY is high then next state is RESP in the next clock cycle
#    Time: 4335 ns Started: 4325 ns  Scope: Top.SR_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 447
# Read Address: 00000e4e | Write Data: 00000007 | Read Data: 00000007 | Data Match
# ** Info: MR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 4345 ns Started: 4335 ns  Scope: Top.MR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 372
# ** Info: SR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 4345 ns Started: 4335 ns  Scope: Top.SR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 455
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4355 ns Started: 4345 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: SR_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 4375 ns Started: 4365 ns  Scope: Top.SR_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 439
# ** Info: SR_state_transition_DATA_a: ASSERTION PASS => when in DATA state and RREADY is high then next state is RESP in the next clock cycle
#    Time: 4385 ns Started: 4375 ns  Scope: Top.SR_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 447
# Read Address: 000002d5 | Write Data: 00000008 | Read Data: 00000008 | Data Match
# ** Info: MR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 4395 ns Started: 4385 ns  Scope: Top.MR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 372
# ** Info: SR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 4395 ns Started: 4385 ns  Scope: Top.SR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 455
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4405 ns Started: 4395 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: SR_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 4425 ns Started: 4415 ns  Scope: Top.SR_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 439
# ** Info: SR_state_transition_DATA_a: ASSERTION PASS => when in DATA state and RREADY is high then next state is RESP in the next clock cycle
#    Time: 4435 ns Started: 4425 ns  Scope: Top.SR_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 447
# Read Address: 00000f40 | Write Data: 00000009 | Read Data: 00000009 | Data Match
# ** Info: MR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 4445 ns Started: 4435 ns  Scope: Top.MR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 372
# ** Info: SR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 4445 ns Started: 4435 ns  Scope: Top.SR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 455
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4455 ns Started: 4445 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: SR_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 4475 ns Started: 4465 ns  Scope: Top.SR_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 439
# ** Info: SR_state_transition_DATA_a: ASSERTION PASS => when in DATA state and RREADY is high then next state is RESP in the next clock cycle
#    Time: 4485 ns Started: 4475 ns  Scope: Top.SR_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 447
# Read Address: 000006af | Write Data: 0000000a | Read Data: 0000000a | Data Match
# ** Info: MR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 4495 ns Started: 4485 ns  Scope: Top.MR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 372
# ** Info: SR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 4495 ns Started: 4485 ns  Scope: Top.SR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 455
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4505 ns Started: 4495 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4515 ns Started: 4505 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4525 ns Started: 4515 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4535 ns Started: 4525 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4545 ns Started: 4535 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4555 ns Started: 4545 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4565 ns Started: 4555 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4575 ns Started: 4565 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4585 ns Started: 4575 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4595 ns Started: 4585 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4605 ns Started: 4595 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4615 ns Started: 4605 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4625 ns Started: 4615 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4635 ns Started: 4625 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4645 ns Started: 4635 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4655 ns Started: 4645 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4665 ns Started: 4655 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4675 ns Started: 4665 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4685 ns Started: 4675 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4695 ns Started: 4685 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4705 ns Started: 4695 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4715 ns Started: 4705 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4725 ns Started: 4715 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4735 ns Started: 4725 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4745 ns Started: 4735 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4755 ns Started: 4745 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4765 ns Started: 4755 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4775 ns Started: 4765 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4785 ns Started: 4775 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4795 ns Started: 4785 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4805 ns Started: 4795 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4815 ns Started: 4805 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4825 ns Started: 4815 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4835 ns Started: 4825 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4845 ns Started: 4835 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4855 ns Started: 4845 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4865 ns Started: 4855 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4875 ns Started: 4865 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4885 ns Started: 4875 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4895 ns Started: 4885 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4905 ns Started: 4895 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4915 ns Started: 4905 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4925 ns Started: 4915 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4935 ns Started: 4925 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4945 ns Started: 4935 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 4955 ns Started: 4945 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
